calendar_date,weekday,day_of_month,day_of_year,week_of_month,week,month,quarter,year,retail_week,isoyear,isoweek,first_day_of_week,first_day_of_month,first_day_of_quarter,first_day_of_year,last_day_of_week,last_day_of_month,last_day_of_quarter,last_day_of_year,day_of_quarter,days_in_week,days_in_month,days_in_quarter,days_in_year,is_sunday,is_tuesday,is_monday,is_wednesday,is_thursday,is_friday,is_saturday,is_weekday,is_weekend,is_first_day_of_week,is_first_day_of_month,is_first_day_of_quarter,is_first_day_of_year,is_last_day_of_week,is_last_day_of_month,is_last_day_of_quarter,is_last_day_of_year,pct_week_elapsed,pct_month_elapsed,pct_quarter_elapsed,pct_year_elapsed,simple_scaling_factor__end_of_week,simple_scaling_factor__end_of_month,simple_scaling_factor__end_of_quarter,simple_scaling_factor__end_of_year,elapsed_month_sundays,elapsed_month_mondays,elapsed_month_tuesdays,elapsed_month_wednesdays,elapsed_month_thursdays,elapsed_month_fridays,elapsed_month_saturdays,sundays_in_month,mondays_in_month,tuesdays_in_month,wednesdays_in_month,thursdays_in_month,fridays_in_month,saturdays_in_month,nth_sunday_of_month,nth_monday_of_month,nth_tuesday_of_month,nth_wednesday_of_month,nth_thursday_of_month,nth_friday_of_month,nth_saturday_of_month,fixed_holidays,floating_holidays,holiday
2024-02-01,5,1,32,1.0,4,2,1,2024,4,2024,5,2024-01-28,2024-02-01,2024-01-01,2024-01-01,2024-02-03,2024-02-29,2024-03-31,2024-12-31,32,7,29,91,366,false,false,false,false,true,false,false,true,false,false,true,false,false,false,false,false,false,0.7142857142857143,0.034482758620689655,0.35164835164835168,0.087431693989071038,1.4,29.0,2.84375,11.4375,0,0,0,0,1,0,0,4,4,4,4,5,4,4,,,,,1,,,,,
2024-02-02,6,2,33,1.0,4,2,1,2024,4,2024,5,2024-01-28,2024-02-01,2024-01-01,2024-01-01,2024-02-03,2024-02-29,2024-03-31,2024-12-31,33,7,29,91,366,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.8571428571428571,0.068965517241379309,0.36263736263736263,0.090163934426229511,1.1666666666666667,14.5,2.7575757575757578,11.090909090909092,0,0,0,0,1,1,0,4,4,4,4,5,4,4,,,,,,1,,Groundhog Day,,Groundhog Day
2024-02-03,7,3,34,1.0,4,2,1,2024,5,2024,5,2024-01-28,2024-02-01,2024-01-01,2024-01-01,2024-02-03,2024-02-29,2024-03-31,2024-12-31,34,7,29,91,366,false,false,false,false,false,false,true,false,true,false,false,false,false,true,false,false,false,1.0,0.10344827586206896,0.37362637362637363,0.092896174863387984,1.0,9.6666666666666661,2.6764705882352939,10.764705882352942,0,0,0,0,1,1,1,4,4,4,4,5,4,4,,,,,,,1,,,
2024-02-04,1,4,35,1.0,5,2,1,2024,5,2024,5,2024-02-04,2024-02-01,2024-01-01,2024-01-01,2024-02-10,2024-02-29,2024-03-31,2024-12-31,35,7,29,91,366,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,0.14285714285714285,0.13793103448275862,0.38461538461538464,0.095628415300546443,7.0,7.25,2.6,10.457142857142857,1,0,0,0,1,1,1,4,4,4,4,5,4,4,1,,,,,,,,,
2024-02-05,2,5,36,1.0,5,2,1,2024,5,2024,6,2024-02-04,2024-02-01,2024-01-01,2024-01-01,2024-02-10,2024-02-29,2024-03-31,2024-12-31,36,7,29,91,366,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,0.2857142857142857,0.17241379310344829,0.39560439560439559,0.098360655737704916,3.5,5.8,2.5277777777777777,10.166666666666666,1,1,0,0,1,1,1,4,4,4,4,5,4,4,,1,,,,,,,,
2024-02-06,3,6,37,1.0,5,2,1,2024,5,2024,6,2024-02-04,2024-02-01,2024-01-01,2024-01-01,2024-02-10,2024-02-29,2024-03-31,2024-12-31,37,7,29,91,366,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,0.42857142857142855,0.20689655172413793,0.40659340659340659,0.10109289617486339,2.3333333333333335,4.833333333333333,2.4594594594594597,9.8918918918918912,1,1,1,0,1,1,1,4,4,4,4,5,4,4,,,1,,,,,,,
2024-02-07,4,7,38,1.0,5,2,1,2024,5,2024,6,2024-02-04,2024-02-01,2024-01-01,2024-01-01,2024-02-10,2024-02-29,2024-03-31,2024-12-31,38,7,29,91,366,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,0.5714285714285714,0.2413793103448276,0.4175824175824176,0.10382513661202186,1.75,4.1428571428571432,2.3947368421052633,9.6315789473684212,1,1,1,1,1,1,1,4,4,4,4,5,4,4,,,,1,,,,,,
2024-02-08,5,8,39,2.0,5,2,1,2024,5,2024,6,2024-02-04,2024-02-01,2024-01-01,2024-01-01,2024-02-10,2024-02-29,2024-03-31,2024-12-31,39,7,29,91,366,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,0.7142857142857143,0.27586206896551724,0.42857142857142855,0.10655737704918032,1.4,3.625,2.3333333333333335,9.384615384615385,1,1,1,1,2,1,1,4,4,4,4,5,4,4,,,,,2,,,,,
2024-02-09,6,9,40,2.0,5,2,1,2024,5,2024,6,2024-02-04,2024-02-01,2024-01-01,2024-01-01,2024-02-10,2024-02-29,2024-03-31,2024-12-31,40,7,29,91,366,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.8571428571428571,0.31034482758620691,0.43956043956043955,0.10928961748633879,1.1666666666666667,3.2222222222222223,2.275,9.15,1,1,1,1,2,2,1,4,4,4,4,5,4,4,,,,,,2,,,,
2024-02-10,7,10,41,2.0,5,2,1,2024,6,2024,6,2024-02-04,2024-02-01,2024-01-01,2024-01-01,2024-02-10,2024-02-29,2024-03-31,2024-12-31,41,7,29,91,366,false,false,false,false,false,false,true,false,true,false,false,false,false,true,false,false,false,1.0,0.34482758620689657,0.45054945054945056,0.11202185792349727,1.0,2.9,2.2195121951219514,8.9268292682926838,1,1,1,1,2,2,2,4,4,4,4,5,4,4,,,,,,,2,,,
2024-02-11,1,11,42,2.0,6,2,1,2024,6,2024,6,2024-02-11,2024-02-01,2024-01-01,2024-01-01,2024-02-17,2024-02-29,2024-03-31,2024-12-31,42,7,29,91,366,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,0.14285714285714285,0.37931034482758619,0.46153846153846156,0.11475409836065574,7.0,2.6363636363636362,2.1666666666666665,8.7142857142857135,2,1,1,1,2,2,2,4,4,4,4,5,4,4,2,,,,,,,,,
2024-02-12,2,12,43,2.0,6,2,1,2024,6,2024,7,2024-02-11,2024-02-01,2024-01-01,2024-01-01,2024-02-17,2024-02-29,2024-03-31,2024-12-31,43,7,29,91,366,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,0.2857142857142857,0.41379310344827586,0.47252747252747251,0.11748633879781421,3.5,2.4166666666666665,2.1162790697674421,8.5116279069767433,2,2,1,1,2,2,2,4,4,4,4,5,4,4,,2,,,,,,,,
2024-02-13,3,13,44,2.0,6,2,1,2024,6,2024,7,2024-02-11,2024-02-01,2024-01-01,2024-01-01,2024-02-17,2024-02-29,2024-03-31,2024-12-31,44,7,29,91,366,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,0.42857142857142855,0.44827586206896552,0.48351648351648352,0.12021857923497267,2.3333333333333335,2.2307692307692308,2.0681818181818183,8.3181818181818183,2,2,2,1,2,2,2,4,4,4,4,5,4,4,,,2,,,,,,,
2024-02-14,4,14,45,2.0,6,2,1,2024,6,2024,7,2024-02-11,2024-02-01,2024-01-01,2024-01-01,2024-02-17,2024-02-29,2024-03-31,2024-12-31,45,7,29,91,366,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,0.5714285714285714,0.48275862068965519,0.49450549450549453,0.12295081967213115,1.75,2.0714285714285716,2.0222222222222221,8.1333333333333329,2,2,2,2,2,2,2,4,4,4,4,5,4,4,,,,2,,,,Valentine's Day,,Valentine's Day
2024-02-15,5,15,46,3.0,6,2,1,2024,6,2024,7,2024-02-11,2024-02-01,2024-01-01,2024-01-01,2024-02-17,2024-02-29,2024-03-31,2024-12-31,46,7,29,91,366,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,0.7142857142857143,0.51724137931034486,0.50549450549450547,0.12568306010928962,1.4,1.9333333333333333,1.9782608695652173,7.9565217391304346,2,2,2,2,3,2,2,4,4,4,4,5,4,4,,,,,3,,,,,
2024-02-16,6,16,47,3.0,6,2,1,2024,6,2024,7,2024-02-11,2024-02-01,2024-01-01,2024-01-01,2024-02-17,2024-02-29,2024-03-31,2024-12-31,47,7,29,91,366,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.8571428571428571,0.55172413793103448,0.51648351648351654,0.12841530054644809,1.1666666666666667,1.8125,1.9361702127659575,7.7872340425531918,2,2,2,2,3,3,2,4,4,4,4,5,4,4,,,,,,3,,,,
2024-02-17,7,17,48,3.0,6,2,1,2024,7,2024,7,2024-02-11,2024-02-01,2024-01-01,2024-01-01,2024-02-17,2024-02-29,2024-03-31,2024-12-31,48,7,29,91,366,false,false,false,false,false,false,true,false,true,false,false,false,false,true,false,false,false,1.0,0.58620689655172409,0.52747252747252749,0.13114754098360656,1.0,1.7058823529411764,1.8958333333333333,7.625,2,2,2,2,3,3,3,4,4,4,4,5,4,4,,,,,,,3,,,
